Respondent, H.  Which part of the training did you find most rewarding? , I. Which part of the training did you find particularly challenging? , J. How can the delivery of the training be enhanced?
1, Training itself, Gathering data, nan
2, Breakout sessions, Data gathering, LGU-specific and concentrated sessions
3, Data gathering, Lack of data,  
4, When we are able to find out where we can gather the data by the help of other municipality., Computation of datas, nan
5, Breakout sessions , Data collection and analysis , nan
6, Inputs from facilitators, data gathering, Na
7, All, All, nan
8, The learnings, nan, Design is good for me
10, Smart economy, Data gathering, Organized documents
12, Sharing part, Data Gathering Procedure and Formula, nan
14, Everything, Data gathering, More practise sets
16, When we finally understand how can we gather the necessary data needed for the Smart Assessment. , In the computation of data on the formula sheets because we do not have the other data needed as of now, nan
18, Strategy of collecting datas, Computing data by formula, N/a
23, Sharing of practices and data sources with other participants , Collection of data to use , Maybe prepare demonstration of inputting data into the actual excel form
24, Data gathering, Formulas,  
25, The importance of proper and validated data, The gathering of accurate data, nan
26, Data Management, Data Collection/Gathering, It’s already very good
27, Breakout Sessions, Breakout Sessions, nan
28, data gathering strats, data gathering, how to get data from other sources
29, The Data gathering techniques suggestion, Scoring, .
30, Sharing ideas, In data gathering, Job well done
31, The Indicators, Data Collection, nan
32, Gathering, Computation, Validation, Gathering, Computation, Validation, Kudos nice1 fuiyoh 
33, The workshop itself, Data gathering, Continous workshop
34, the sharing of strategies of lgu reps, the actual data collection., none
35, Group discussion , Data gathering , More details on required data to gatt
38, The data gathering itself , Per Departments data, More coaches or consultants
39, All, Data gathering, Its very informative thank u
42, Sharing of knowledge , Data collection , None 
43, 2 days workshop, 1st day, very interesting 
44, small groups, data gathering, Provision of SAMPLES.
46, Computing data using a formula, Collecting data to be used in a formula, nan
